fighter,division,style,slpm,td,win,height,fights_in_UFC,fighter_image,age,country,record
Daniel Cormer,Heavyweight,Wrestler,3.84,2.04,0.92,180,12,cormier.jpg,39,USA,22-1-0 (1 NC)
Stipe Miocic,Heavyweight,Hybrid,4.76,2.38,0.86,193,15,miocic.jpg,36,Croatia/USA,18-3-0
Derrick Lewis,Heavyweight,Striker,2.76,0.49,0.75,190,16,lewis.jpg,33,USA,21-6-0 (1 NC)
Francis Ngannou,Heavyweight,Striker,1.79,0,0.76,193,8,ngannou.jpg,32,Cameroon/France,11-3-0
Curtis Blaydes,Heavyweight,Wrestler,4.2,6.82,0.83,193,11,blaydes.jpg,27,USA,10-1-0 (1 NC)
Alistair Overeem,Heavyweight,Striker,3.53,1.39,0.7,193,14,overeem.jpg,38,Netherlands,43-17-0 (1 NC)
Junior Dos Santos,Heavyweight,Striker,4.83,0.36,0.79,193,17,dos-santos.jpg,34,Brazil,19-5-0
Alexander Volkov,Heavyweight,Striker,5.31,0.86,0.81,201,5,volkov.jpg,30,Russia,30-7-0
Aleksei Oleinik,Heavyweight,Grappler,3.06,2.99,0.81,188,8,oleinik.jpg,41,Russia,54-11-1
Tai Tuivasa,Heavyweight,Striker,5.21,0,1,185,3,tuivasa.jpg,25,Australia,10-0-0
Jon Jones,Light Heavyweight,Hybrid,4.41,2.13,0.92,193,17,jones.jpg,31,USA,22-1-0 (1 NC)
Alexander Gustafsson,Light Heavyweight,Striker,4.18,1.76,0.81,196,14,gustaffson.jpg,31,Sweden,18-4-0
Ryan Bader,Light Heavyweight,Wrestler,2.82,3.37,0.82,188,20,bader.jpg,35,USA,23-5-0
Phil Davis ,Light Heavyweight,Wrestler,2.85,2.99,0.76,185,13,davis.jpg,34,USA,13-3-0 (1 NC)
Jan Blachowicz,Light Heavyweight,Hybrid,3.64,1.59,0.77,188,10,blachowicz.jpg,35,Poland,23-7-0
Ilir Latifi,Light Heavyweight,Wrestler,2.37,2.33,0.71,177,10,latifi.jpg,35,Sweden,15-5-0 (1 NC)
Anthony Smith,Light Heavyweight,Striker,3.49,0.58,0.7,193,10,smith.jpg,30,USA,31-13-0
Volkan Oezdemir,Light Heavyweight,Striker,5.69,0.4,0.8,188,5,oezdemir.jpg,29,Switzerland,15-3-0
